text,label
последний несколько неделя у меня появиться кожный сыпь на рука нога и туловище он красный зудеть и покрыть сухой чешуйчатый пятно,псориаз
мой кожа шелушилась особенно на колено локтях и волосистый часть голова это шелушение часто сопровождаться ощущение жжение или покалывание,псориаз
я испытывать боль в сустав палец запястье и коленей боль часто ныть и пульсировать и усиливаться когда я двигать сустав,псориаз
на мой кожа особенно на поясница и кожа голова появляться серебристый пыль этот пыль состоять из мелкий чешуйка которые легко отслаиваются когда я их царапать,псориаз
на мой ногтях быть небольшой вмятина или ямка они часто воспаляться и становиться чувствительный на ощупь даже на рука быть небольшой высыпание,псориаз
кожа на ладонь и подошвах утолстить и покрыть глубокий трещина этот трещина болезненный и легко кровоточить,псориаз
кожа вокруг рот нос и глаз красный и воспаленная это часто зудеть и вызывать дискомфорт на ногтях заметно воспаление,псориаз
мой кожа очень чувствительный и легко реагировать на изменение температура и влажность мне часто приходиться быть осторожный с тем какой продукт я наносить на свой кожа,псориаз
я заметить внезапный шелушение кожа на разный часть тело главный образ на рука нога и спина также меня беспокоить сильный боль в сустав и кожный высыпание,псориаз
кожа на половой орган красный и воспалить часто возникать зуд жжение и дискомфорт также наблюдаться высыпание на разный участок тело,псориаз
я почувствовать усталость и общий недомогание я часто чувствовать усталость и недостаток энергия даже после хороший ночной сон,псориаз
сыпь на мой кожа распространиться на другие часть тело включая грудь и живот это зуд и дискомфорт часто плохой ночь я тоже столкнуться с шелушение кожа,псориаз
сыпь на мой кожа усиливаться в зимний месяц когда воздух сухой я обнаружить что мне приходиться чаще увлажнять кожа и использовать увлажнитель чтобы кожа оставаться увлажненной,псориаз
у меня возникнуть проблема со сон из за зуд и дискомфорт вызвать сыпь на мой ногтях быть небольшой вмятина что очень беспокоить,псориаз
мой кожа склонный к инфекция из за сухой шелушиться пятно я испытывать сильный боль в сустав кожа на колено и локтях начинать шелушиться,псориаз
у меня начинать появляться высыпание на кожа сыпь часто кровоточить когда я она чешу или растирать более того я заметить на свой ногтях небольшой вмятина,псориаз
я заметить что мой кожа стать более чувствительный чем ранний кожа у меня серебристая как пыль особенно на спина и локтях,псориаз
меня беспокоить постоянный шелушение кожа на ладонь локоть и колено у меня на рука появиться сыпь которая зудеть если я к ним прикасаться весь это делать мой жизнь довольно дискомфортный и несчастный,псориаз
у меня странный боль в сустав также я заметить странный шелушение кожа на разный участок тело бояться что то не так с мой тело,псориаз
на мой ногтях быть небольшой вмятинки даже сустав начать сильно болеть мой кожа покрыть серебристый пыль особенно на спина,псориаз
высыпание на мой кожа не заживать более того я заметить внезапный шелушение кожа особенно кожа на локтях и колено я действительно беспокоиться об это,псориаз
последний несколько неделя у меня появиться кожный сыпь на рука нога и грудь он красный и раздражать с сухой чешуйчатый пятно у меня тоже странный боль в сустав,псориаз
мой кожа шелушиться особенно на колено локтях и волосистый часть голова это шелушение часто сопровождаться ощущение покалывание или жжение,псориаз
у меня дискомфорт в сустав палец запястье и коленей боль часто ныть и пульсировать усиливаться при движение сустав,псориаз
мой кожа покрыть серебристый плёнка особенно на спина рука и волосистый часть голова этот пыль состоять из крошечный чешуйка которые легко отслаиваются при царапина,псориаз
у меня красный и воспаленная кожа вокруг рот нос и глаз это часто раздражать и неприятно в последний время стать очень больно,псориаз
мой кожа чрезвычайно чувствительный и быстро раздражаться при изменение температура или влажность на мой ногтях появиться вмятина меня беспокоить этот внезапный перемена,псориаз
я заметить внезапный шелушение кожа на различный участок мой тело в основный на рука нога и спина кроме того у меня сильный боль в сустав и кожный высыпание сыпь распространяться на разный часть тело,псориаз
кожа половой орган красный и раздраженная это часто раздражать жжет и неприятно также наблюдаться высыпание в различный место тело кроме того у меня странный боль в сустав,псориаз
у меня быть проблема со сон из за зуд и боль вызвать сыпь на мой ногтях быть небольшой вмятина и это меня очень беспокоить на ногтях заметно воспаление,псориаз
